"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","head_lr","learning_rate","max_length","patience","scheduler","trial_number","warmup_ratio","weight_decay","Current LR","Epoch","Train Accuracy","Train Loss","Validation Accuracy","Validation F1 Macro","Validation F1 Weighted","Validation Loss","Validation Precision","Validation Recall"
"cardiffnlp-twitter-roberta-base-trial-9","finished","-","","","2025-08-14T09:10:59.000Z","575","","16","6","0.00026977732089431895","0.00006744433022357974","128","2","linear","9","0.06","0","0.000035872995784114276","3","0.7754205607476635","0.606822485606247","0.7062048342885622","0.7166468865326037","0.7048855828416807","0.7787782282951673","0.712642555899256","0.7062048342885622"
"cardiffnlp-twitter-roberta-base-trial-8","finished","-","","","2025-08-14T09:07:41.000Z","194","","16","4","0.0003460911684555297","0.00008652279211388243","128","1","linear","8","0","0.01","0.00006489209408541183","1","0.5877258566978193","0.9951874562884416","0.6500124595066036","0.6602954086320438","0.6456254356033286","0.8446724239561346","0.6613617750881837","0.6500124595066036"
"cardiffnlp-twitter-roberta-base-trial-7","finished","-","","","2025-08-14T09:04:39.000Z","177","","32","4","0.00005596399987143299","0.000013990999967858248","128","2","linear","7","0.1","0.02","0.000011657231508489364","1","0.49616822429906543","1.1094035916462124","0.6171193620732619","0.62579881113538","0.60728324910147","0.8942238239020502","0.6285622462261664","0.6171193620732619"
"cardiffnlp-twitter-roberta-base-trial-6","finished","-","","","2025-08-14T09:00:04.000Z","270","","16","5","0.00007025947560873804","0.00001756486890218451","192","2","linear","6","0.1","0.02","0.00001561235247417374","1","0.5217133956386293","1.071717542279918","0.6404186394218789","0.6491275808738014","0.6323842443395337","0.8295561459529082","0.6481745198551396","0.6404186394218789"
"cardiffnlp-twitter-roberta-base-trial-5","finished","-","","","2025-08-14T08:55:51.000Z","247","","32","4","0.00005108450546501967","0.000012771126366254917","192","2","linear","5","0","0","0.000009578344774691188","1","0.5510280373831775","1.0156663965213335","0.6293296785447297","0.6387512983401743","0.6212449595514354","0.8567505502177984","0.6370682192163023","0.6293296785447297"
"cardiffnlp-twitter-roberta-base-trial-4","finished","-","","","2025-08-14T08:38:00.000Z","1066","","16","6","0.00007785998684663703","0.000019464996711659257","192","1","linear","4","0.1","0","0.000007209125004668782","4","0.8161059190031152","0.4987755717768847","0.7118116122601545","0.7211634508730745","0.710425506468725","0.7811969856861789","0.7122433968480344","0.7118116122601545"
"cardiffnlp-twitter-roberta-base-trial-3","finished","-","","","2025-08-14T08:23:20.000Z","875","","32","5","0.000043195674098309496","0.000010798918524577374","128","2","linear","3","0","0.02","0","5","0.7693769470404984","0.58675567277124","0.6951158734114129","0.7043661609735797","0.6924869282824669","0.7928949178542516","0.6975684118799492","0.6951158734114129"
"cardiffnlp-twitter-roberta-base-trial-2","finished","-","","","2025-08-14T08:10:26.000Z","769","","16","4","0.00013045097511768885","0.00003261274377942221","128","2","linear","2","0.06","0.02","0","4","0.8526791277258567","0.41171706644266937","0.7215300274109145","0.7306527133359472","0.7208002323427284","0.8503721287697293","0.7227388327965422","0.7215300274109145"
"cardiffnlp-twitter-roberta-base-trial-1","finished","-","","","2025-08-14T07:53:54.000Z","987","","32","4","0.00003113133477013901","0.000007782833692534752","192","2","linear","1","0.1","0.01","0","4","0.7155140186915888","0.7049101894555434","0.6733117368552205","0.6833852945646088","0.6696957085684884","0.8085444120287806","0.6756666363514502","0.6733117368552205"
"cardiffnlp-twitter-roberta-base-trial-0","finished","-","","","2025-08-14T07:31:35.000Z","1334","","16","5","0.00010230879559889664","0.00002557719889972416","192","2","linear","0","0","0","0","5","0.8752959501557632","0.35651906329894734","0.7171692000996761","0.7255093161814559","0.7169452232892592","0.9338787638751938","0.7178790048509976","0.7171692000996761"
