"Name","Runtime","Notes","Tags","attention_probs_dropout_prob","batch_size","classifier_dropout","dropout","epochs","hidden_dropout_prob","learning_rate","num_train_epochs","patience","per_device_eval_batch_size","per_device_train_batch_size","warmup_ratio","weight_decay","max_length","eval/accuracy","eval/f1_macro","eval/loss","eval/precision_weighted","eval/recall_weighted","eval/runtime","eval/samples_per_second","eval/steps_per_second","final_eval/accuracy","final_eval/f1_macro","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second","ID","State","User","Group","Job Type","Created","Updated","End Time","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","_name_or_path","accelerator_config.even_batches","accelerator_config.non_blocking","accelerator_config.split_batches","accelerator_config.use_seedable_sampler","adafactor","adam_beta1","adam_beta2","adam_epsilon","add_cross_attention","architectures","auto_find_batch_size","average_tokens_across_devices","batch_eval_metrics","bf16","bf16_full_eval","bos_token_id","chunk_size_feed_forward","dataloader_drop_last","dataloader_num_workers","dataloader_persistent_workers","dataloader_pin_memory","ddp_timeout","debug","disable_tqdm","diversity_penalty","do_eval","do_predict","do_sample","do_train","early_stopping","encoder_no_repeat_ngram_size","eos_token_id","eval_delay","eval_do_concat_batches","eval_on_start","eval_steps","eval_strategy","eval_use_gather_object","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","fsdp","fsdp_config.min_num_params","fsdp_config.xla","fsdp_config.xla_fsdp_grad_ckpt","fsdp_config.xla_fsdp_v2","fsdp_min_num_params","full_determinism","gradient_accumulation_steps","gradient_checkpointing","greater_is_better","group_by_length","half_precision_backend","hidden_act","hidden_size","hub_always_push","hub_strategy","hub_token","id2label.0","id2label.1","id2label.2","id2label.3","id2label.4","ignore_data_skip","include_for_metrics","include_inputs_for_metrics","include_num_input_tokens_seen","include_tokens_per_second","initializer_range","intermediate_size","is_decoder","is_encoder_decoder","jit_mode_eval","label2id.Extremely Negative","label2id.Extremely Positive","label2id.Negative","label2id.Neutral","label2id.Positive","label_smoothing_factor","layer_norm_eps","length_column_name","length_penalty","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_position_embeddings","max_steps","metric_for_best_model","min_length","model/num_parameters","model_name","model_type","mp_parameters","no_cuda","no_repeat_ngram_size","num_attention_heads","num_beam_groups","num_beams","num_hidden_layers","num_return_sequences","optim","output_attentions","output_dir","output_hidden_states","output_scores","overwrite_output_dir","pad_token_id","past_index","position_embedding_type","prediction_loss_only","problem_type","push_to_hub","push_to_hub_token","ray_scope","remove_invalid_values","remove_unused_columns","repetition_penalty","report_to","restore_callback_states_from_checkpoint","return_dict","return_dict_in_generate","run_name","save_on_each_node","save_only_model","save_safetensors","save_steps","save_strategy","save_total_limit","seed","skip_memory_metrics","temperature","tf_legacy_loss","tie_encoder_decoder","tie_word_embeddings","top_k","top_p","torch_compile","torch_dtype","torchscript","tpu_metrics_debug","transformers_version","type_vocab_size","typical_p","use_bfloat16","use_cache","use_cpu","use_ipex","use_legacy_prediction_loop","use_liger_kernel","use_mps_device","vocab_size","warmup_steps"
"trial-7","320","-","","0.14353282698054454","32","0.14353282698054454","0.14353282698054454","7","0.14353282698054454","0.00004656446497122399","7","4","32","32","0.05","0.01","20","0.7238973336655868","0.7329949088725244","0.7813404202461243","0.7248757423308597","0.7238973336655868","4.0809","1966.722","61.506","0.7238973336655868","0.7329949088725244","12305640845827584","3.8844621513944224","3900","13.74896240234375","0.00002184540208056823","0.5372","0.7669010465573042","307.0722","731.75","22.887","9y5i0560","finished","","","","2025-08-18T17:30:26.000Z","2025-08-18T17:35:46.000Z","2025-08-18T17:35:46.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/7/runs/Aug18_17-30-33_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/7","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-7","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-6","513","-","","0.13161300376423726","32","0.13161300376423726","0.13161300376423726","8","0.13161300376423726","0.000030905848645396554","8","4","32","32","0.05","0","20","0.7225267879391976","0.730484134239225","0.8249715566635132","0.7284585970045259","0.7225267879391976","4.5408","1767.549","55.277","0.7225267879391976","0.730484134239225","23977956322744320","5.677290836653387","5700","20.073532104492188","0.000009466181950759076","0.3949","0.6798550635889957","498.6809","514.959","16.106","p64ll0ba","finished","","","","2025-08-18T17:21:52.000Z","2025-08-18T17:30:25.000Z","2025-08-18T17:30:25.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/6/runs/Aug18_17-22-00_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/6","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-6","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-9","386","-","","0.10168417617039024","32","0.10168417617039024","0.10168417617039024","10","0.10168417617039024","0.000029869308050988023","10","2","32","32","0.1","0","20","0.7196611014203838","0.728461392533258","0.7997668385505676","0.7214309159087772","0.7196611014203838","4.522","1774.867","55.506","0.7196611014203838","0.728461392533258","17666804557602816","4.183266932270916","4200","10.957260131835938","0.000019317865897518148","0.4345","0.7805251012529646","370.2657","866.945","27.116","mwr8cxyr","finished","","","","2025-08-18T17:39:58.000Z","2025-08-18T17:46:24.000Z","2025-08-18T17:46:24.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/9/runs/Aug18_17-40-07_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/9","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-9","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-5","531","-","","0.12470264744784967","16","0.12470264744784967","0.12470264744784967","9","0.12470264744784967","0.000037184628710763174","9","4","16","16","0.1","0.01","20","0.7191627211562422","0.7268237863573784","0.7958415746688843","0.7210346478298443","0.7191627211562422","7.5925","1057.103","66.118","0.7191627211562422","0.7268237863573784","9469885065421824","2.9895366218236172","6000","13.43329906463623","0.00002760482894202079","0.6666","0.8694219678243001","514.7686","561.223","35.09","pgai136w","finished","","","","2025-08-18T17:13:00.000Z","2025-08-18T17:21:51.000Z","2025-08-18T17:21:51.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/5/runs/Aug18_17-13-07_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/5","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-5","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-3","363","-","","0.13577408135728777","32","0.13577408135728777","0.13577408135728777","9","0.13577408135728777","0.00004431328277384464","9","4","32","32","0.05","0","20","0.7171692000996761","0.7234157426876016","0.8554405570030212","0.7258102722077111","0.7171692000996761","4.3669","1837.919","57.478","0.7171692000996761","0.7234157426876016","14197328731072512","4.482071713147411","4500","9.749310493469238","0.000023436894663706275","0.4607","0.7310246768527561","349.256","827.187","25.872","k1wq29xu","finished","","","","2025-08-18T17:01:31.000Z","2025-08-18T17:07:34.000Z","2025-08-18T17:07:34.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/3/runs/Aug18_17-01-38_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/3","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-3","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-0","634","-","","0.14621436429727586","16","0.14621436429727586","0.14621436429727586","9","0.14621436429727586","0.00003484470131707353","9","4","16","16","0.05","0","20","0.7166708198355345","0.7261676046598347","0.7764264345169067","0.720775961504273","0.7166708198355345","7.5931","1057.011","66.113","0.7166708198355345","0.7261676046598347","11363151659521536","3.587443946188341","7200","22.88832092285156","0.00002207162763653314","0.5822","0.8108265331056383","613.4916","470.911","29.443","zs4cm2c1","finished","","","","2025-08-18T16:41:05.000Z","2025-08-18T16:51:39.000Z","2025-08-18T16:51:39.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/0/runs/Aug18_16-41-16_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/0","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-0","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-2","339","-","","0.15773788956790108","32","0.15773788956790108","0.15773788956790108","9","0.15773788956790108","0.000025512872368085748","9","3","32","32","0.1","0","20","0.7140543234487914","0.7234618423137675","0.7974170446395874","0.7152084357564817","0.7140543234487914","4.1382","1939.469","60.654","0.7140543234487914","0.7234618423137675","13250103418202112","4.183266932270916","4200","12.650792121887209","0.000015184739579628016","0.5654","0.8453877603440058","325.7472","886.884","27.739","zv0zidcn","finished","","","","2025-08-18T16:55:51.000Z","2025-08-18T17:01:30.000Z","2025-08-18T17:01:30.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/2/runs/Aug18_16-55-58_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/2","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-2","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-8","251","-","","0.14409806187933386","32","0.14409806187933386","0.14409806187933386","8","0.14409806187933386","0.000026029540337155276","8","2","32","32","0.05","0","20","0.7098180912035883","0.7200842698848213","0.8017624020576477","0.712154318694749","0.7098180912035883","4.5361","1769.362","55.334","0.7098180912035883","0.7200842698848213","11359336446455808","2.6892430278884465","2700","10.934511184692385","0.000018203620870125892","0.6588","0.8835159103958695","235.6225","1089.879","34.088","sstp4b8i","finished","","","","2025-08-18T17:35:47.000Z","2025-08-18T17:39:58.000Z","2025-08-18T17:39:58.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/8/runs/Aug18_17-35-56_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/8","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-8","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-1","250","-","","0.10989224527816494","32","0.10989224527816494","0.10989224527816494","8","0.10989224527816494","0.00001986526103923644","8","2","32","32","0.05","0","20","0.7055818589583852","0.7154873431684413","0.7907615900039673","0.707191665932966","0.7055818589583852","4.5321","1770.93","55.383","0.7055818589583852","0.7154873431684413","11359336446455808","2.6892430278884465","2700","11.173174858093262","0.00001389006129021316","0.6427","0.8856982337103949","235.4599","1090.632","34.112","05b3e29y","finished","","","","2025-08-18T16:51:40.000Z","2025-08-18T16:55:50.000Z","2025-08-18T16:55:50.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/1/runs/Aug18_16-51-48_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/1","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-1","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
"trial-4","325","-","","0.15743383397940244","16","0.15743383397940244","0.15743383397940244","10","0.15743383397940244","0.00003860799142365962","10","3","16","16","0.1","0.02","20","0.6918764016944929","0.7001011090252514","0.8722362518310547","0.6989944131277489","0.6918764016944929","7.6665","1046.888","65.479","0.6918764016944929","0.7001011090252514","5682167845581312","1.7937219730941705","3600","12.86449909210205","0.000035215925743022524","0.8189","1.014167308807373","307.6832","1043.281","65.229","qm54ay1j","finished","","","","2025-08-18T17:07:34.000Z","2025-08-18T17:12:59.000Z","2025-08-18T17:12:59.000Z","","a433f2992a90","","","","1","NVIDIA A100-SXM4-40GB","cardiffnlp/twitter-roberta-base","true","false","false","true","false","0.9","0.999","1e-8","false","[""RobertaForMaskedLM""]","false","false","false","false","false","0","0","false","0","false","true","1800","[]","false","0","true","false","false","false","false","0","2","0","true","false","300","steps","false","true","auto","false","O1","[]","0","false","false","false","0","false","1","false","true","false","auto","gelu","768","false","every_save","<HUB_TOKEN>","Extremely Negative","Negative","Neutral","Positive","Extremely Positive","false","[]","false","false","false","0.02","3072","false","false","false","0","4","1","2","3","0","0.00001","length","1","true","0","passive","warning","true","./hf_roberta_optuna/4/runs/Aug18_17-07-42_a433f2992a90","false","true","100","steps","linear","1","514","-1","accuracy","0","124651781","cardiffnlp/twitter-roberta-base","roberta","","false","0","12","1","1","12","1","adamw_torch","false","./hf_roberta_optuna/4","false","false","false","1","-1","absolute","false","single_label_classification","false","<PUSH_TO_HUB_TOKEN>","last","false","true","1","[""wandb""]","false","true","false","trial-4","false","false","true","300","steps","1","42","true","1","false","false","true","50","1","false","float32","false","false","4.55.2","1","1","false","true","false","false","false","false","false","50268","0"
